B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
JS0139,Con Basal,0.0016585714285714298,kg,day,individual,too_low_kg
JS0139,FM SB Substitution1,0.00174,kg,day,individual,too_low_kg
JS0139,FM SB Substitution2,0.00181714285714286,kg,day,individual,too_low_kg
JS0139,FM SB Substitution3,0.00178571428571429,kg,day,individual,too_low_kg
JS0139,FM SB Substitution4,0.00164285714285714,kg,day,individual,too_low_kg
JS0177,L3,0.0526,kg,day,individual,too_low_kg
JS0177,PP2,0.0631,kg,day,individual,too_low_kg
JS0177,S4,0.0497,kg,day,individual,too_low_kg
JS0192,HL1,0.08940000000000001,kg,day,individual,too_low_kg
JS0192,HL1,0.0691,kg,day,individual,too_low_kg
JS0192,HL2,0.09509999999999999,kg,day,individual,too_low_kg
JS0192,HL3,0.08220000000000001,kg,day,individual,too_low_kg
JS0193,Trt 3,0.0627,kg,day,individual,too_low_kg
JS0206,LLM,0.07529999999999999,kg,day,individual,too_low_kg
JS0206,NLM,0.07529999999999999,kg,day,individual,too_low_kg
JS0206,NPH,0.0752,kg,day,individual,too_low_kg
JS0206,PLM,0.07529999999999999,kg,day,individual,too_low_kg
JS0207,Bundle 2 Untreated Staw +Hay,0.077,kg,day,individual,too_low_kg
JS0207,Bundle 4 Untreated Straw + Hay,0.077,kg,day,individual,too_low_kg
JS0208,UTS+Hay UTSH Bundle1,0.0752,kg,day,individual,too_low_kg
JS0209,Marejea 1,0.07540000000000001,kg,day,individual,too_low_kg
JS0281,Diet1,0.08420979801688347,kg,day,individual,too_low_kg
JS0281,Diet3,0.09653318309252494,kg,day,individual,too_low_kg
JS0291,Leucocephala 1,0.0681396190923616,kg,day,individual,too_low_kg
JS0291,Pallida 1,0.06893245932771669,kg,day,individual,too_low_kg
JS0291,Palmensis 1,0.06655547600805312,kg,day,individual,too_low_kg
JS0291,Sesban 1,0.06617123088458568,kg,day,individual,too_low_kg
JS0295,Diet Con,4.31428571428571e-4,kg,day,individual,too_low_kg
JS0295,RCP 1,4.32857142857143e-4,kg,day,individual,too_low_kg
JS0295,RCP 2,4.24285714285714e-4,kg,day,individual,too_low_kg
JS0295,RCP 3,4.12857142857143e-4,kg,day,individual,too_low_kg
JS0295,RCP 4,3.9714285714285703e-4,kg,day,individual,too_low_kg
JS0296,Con,0.00132,kg,day,individual,too_low_kg
JS0296,Maize G 1,0.00117,kg,day,individual,too_low_kg
JS0296,Maize G 2,9.8e-4,kg,day,individual,too_low_kg
JS0296,Maize G 3,5.5e-4,kg,day,individual,too_low_kg
JS0309,Base,0.0432857142857143,kg,day,individual,too_low_kg
JS0342,100% BSC,0.0864,kg,day,individual,too_low_kg
JS0370,FishMeal Con,1.0214285714285699e-4,kg,day,individual,too_low_kg
JS0370,Spirulina One,1.11071428571429e-4,kg,day,individual,too_low_kg
JS0370,Spirulina Three,1.14285714285714e-4,kg,day,individual,too_low_kg
JS0370,Spirulina Two,1.3875e-4,kg,day,individual,too_low_kg
JS0371,Control,0.0493,kg,day,individual,too_low_kg
JS0371,Jatropha 12,0.0264,kg,day,individual,too_low_kg
JS0371,Jatropha 4,0.04,kg,day,individual,too_low_kg
JS0371,Jatropha 8,0.0318,kg,day,individual,too_low_kg
JS0393,Protein Supp. Dorper...Protein Supp. Merino,0.0149333333333333,kg,day,individual,too_low_kg
JS0393,Salt/Phosphate Supp. Dorper...Salt/Phosphate Supp. Merino,0.008675,kg,day,individual,too_low_kg
LM0104,15% A. sieberiana,145,kg,day,individual,too_high_kg
LM0104,30% A. sieberiana,306,kg,day,individual,too_high_kg
LM0104,45% A. sieberiana,508,kg,day,individual,too_high_kg
LM0104,60% A. sieberiana,602,kg,day,individual,too_high_kg
LM0120,Cabbage Diet,0.007872,kg,day,individual,too_low_kg
LM0120,Duckweed Diet,0.008400000000000001,kg,day,individual,too_low_kg
LM0120,Fish Meal Pelletes Diet,0.0017919999999999998,kg,day,individual,too_low_kg
LM0120,Kikuyu Grass Diet,0.004228,kg,day,individual,too_low_kg
LM0120,Vallisneria Diet,0.006679999999999999,kg,day,individual,too_low_kg
LM0266,brownii5,0.096,kg,day,individual,too_low_kg
LM0277.1,0% Poultry Waste,0.0832244897959184,kg,day,individual,too_low_kg
LM0277.1,05% ODPW,0.08442857142857141,kg,day,individual,too_low_kg
LM0277.1,05% SDPW,0.0870612244897959,kg,day,individual,too_low_kg
LM0277.1,10% ODPW,0.0838163265306122,kg,day,individual,too_low_kg
