"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"303","BO1010","Protein supplement","Natural Pasture Dried","Forage Plants",119.9064,"g",37.6
"304","BO1010","Protein supplement","Commercial Feed","Preformulated Feed",7.6536,"g",2.4
"305","BO1010","Rangeland hay Control","Natural Pasture Dried","Forage Plants",109.76,"g",40
"306","BO1011","Control","Trifolium alexandrinum Dried","Forage Plants",337.5,"g",50
"307","BO1011","Diet 1","Barley Grain Sprouted","Crop Product",337.5,"g",50
"308","BO1011","Diet 2","Barley Grain Sprouted","Crop Product",337.5,"g",50
"309","BO1011","Diet 3","Barley Grain Sprouted","Crop Product",162.5,"g",25
"310","BO1012","DLL0","Linseed Cake","Crop Byproduct",67.47,"g",7.58942632170979
"311","BO1012","DLL0","Salt","Other Ingredients",1.73,"g",0.194600674915636
"312","BO1012","DLL0","Wheat Bran","Crop Byproduct",138.4,"g",15.5680539932508
"313","BO1012","DLL0","Maize Grain Ground","Crop Product",138.4,"g",15.5680539932508
"314","BO1012","DLL10","Wheat Bran","Crop Byproduct",124.4,"g",13.7306843267108
