"","B.Code","A.Level.Name","diet_intake_kg","Source"
"431","EM1012","T1  NSC",5.01,"feed_intake"
"432","EM1012","T2 FSF",5.88,"feed_intake"
"433","EM1012","T3 FSF",6.91,"feed_intake"
"434","EM1013.1","FS50C50",0.5,"feed_intake"
"435","EM1013.1","FS60C40",0.476,"feed_intake"
"436","EM1013.1","FS70C30",0.469,"feed_intake"
"437","EM1013.1","FS80C20",0.511,"feed_intake"
"438","EM1013.1","FS90C10",0.37,"feed_intake"
"439","EM1013.2","FS50L50",0.539,"feed_intake"
"440","EM1013.2","FS60L40",0.565,"feed_intake"
"441","EM1013.2","FS70L30",0.583,"feed_intake"
"442","EM1013.2","FS80L20",0.552,"feed_intake"
"443","EM1013.2","FS90L10",0.517,"feed_intake"
"444","EM1013.3","FS50MN50",0.55,"feed_intake"
"445","EM1013.3","FS60MN40",0.492,"feed_intake"
"446","EM1013.3","FS70MN30",0.447,"feed_intake"
"447","EM1013.3","FS80MN20",0.46,"feed_intake"
"448","EM1013.3","FS90MN10",0.468,"feed_intake"
"449","EM1013.4","FS61C39",0.521,"feed_intake"
"450","EM1013.4","FS68L32",0.527,"feed_intake"
"451","EM1013.4","FS77MN23",0.499,"feed_intake"
"452","EM1014","T1A.B+PEG",0.4318,"feed_intake"
"453","EM1014","T2A.B+BC",0.4318,"feed_intake"
"454","EM1014","T3A.B",0.4356,"feed_intake"
"455","EM1014","T4B.D+PEG",0.3862,"feed_intake"
"456","EM1014","T5B.D+BC",0.4237,"feed_intake"
"457","EM1014","T6B.D",0.4081,"feed_intake"
"458","EM1015","T1HS",0.838,"feed_intake"
"459","EM1015","T2GT",0.833,"feed_intake"
"460","EM1015","T3HS+GT",0.828,"feed_intake"
"461","EM1017","10MOL",1.0047,"feed_intake"
"462","EM1017","20MOL",0.9454,"feed_intake"
"463","EM1017","30MOL",0.9809,"feed_intake"
"464","EM1017","Control",0.9982,"feed_intake"
"465","EM1020","T1 Control",0.606,"feed_intake"
"466","EM1020","T2 2DVL:1WB",0.828,"feed_intake"
"467","EM1020","T3 1DVL:1WB",0.824,"feed_intake"
"468","EM1020","T4 1DVL:2WB",0.819,"feed_intake"
"469","EM1022","T0 Typha silage",5.16077,"feed_intake"
"470","EM1022","T10 Typha silage",5.24935,"feed_intake"
"471","EM1022","T20 Typha silage",5.4407,"feed_intake"
"472","EM1022","T30 Typha silage",5.52496,"feed_intake"
"473","EM1023","1.5A",0.95616,"feed_intake"
"474","EM1023","1A",0.92541,"feed_intake"
"475","EM1023","2A",1.07813,"feed_intake"
"476","EM1023","Control",0.54769,"feed_intake"
"477","EM1025","D1 Katambora /Vigna (1:4)",0.6708,"feed_intake"
"478","EM1025","D2 Pellets",0.6948,"feed_intake"
"479","EM1025","D3 Katambora/Lablab (1:4)",0.6881,"feed_intake"
"480","EM1026","Diet1",0.725,"feed_intake"
